order_id,customer_id,product_id,quantity,amount,order_date
1,2581,305,1,910.39,2026-03-28
2,3245,455,2,1217.46,2024-02-14
3,206,238,2,1861.7,2026-03-19
4,4825,52,8,171.2,2023-07-22
5,1673,117,10,6048.1,2024-01-24
6,4850,316,5,4131.4,2025-09-23
7,144,213,6,2981.64,2024-01-26
8,2200,230,8,1909.6,2024-06-20
9,1727,55,6,2484.24,2024-12-19
10,3859,445,3,2159.85,2024-03-26
11,4551,278,9,7033.23,2024-09-10
12,3815,181,1,865.46,2026-02-16
13,2277,218,9,8336.34,2024-07-22
14,3119,375,10,2425.7,2024-12-18
15,1279,477,4,1513.8,2025-06-12
16,2521,187,5,4764.5,2024-06-05
17,2647,471,3,3835.29,2023-12-27
18,3426,149,7,3545.36,2025-05-19
19,1216,94,1,395.51,2024-03-03
20,4200,244,6,3185.88,2025-07-19
21,4556,225,9,295.56,2024-09-20
22,109,47,2,2493.4,2025-12-21
23,3729,97,9,2712.51,2025-04-02
24,2678,78,5,6086.35,2025-05-28
25,3940,306,1,208.34,2023-09-15
26,2959,425,10,237.1,2025-04-30
27,449,278,6,4688.82,2026-02-10
28,1313,255,9,7813.71,2024-03-20
29,108,113,10,568.2,2025-01-30
30,4,280,5,5944.15,2024-02-12
31,863,155,5,279.8,2025-05-31
32,4837,433,4,3599.32,2024-01-24
33,2984,149,2,1012.96,2024-10-04
34,1547,228,2,1251.8,2023-09-12
35,3354,33,3,143.52,2023-09-05
36,735,445,9,6479.55,2024-01-01
37,2981,140,1,836.34,2025-09-05
38,919,272,2,57.48,2024-06-11
39,2219,353,6,5828.1,2024-12-02
40,4990,489,5,4933.25,2025-05-23
41,4378,412,5,3281.15,2024-10-22
42,1403,116,2,2158.86,2024-10-24
43,3587,442,6,7423.5,2024-05-24
44,3673,224,3,1531.74,2025-01-18
45,3156,268,3,1610.28,2023-12-17
46,512,80,1,1089.94,2023-09-24
47,4495,175,1,224.63,2023-11-22
48,136,394,3,3248.37,2024-12-16
49,2115,124,3,1063.11,2023-10-10
50,2584,432,5,4488.0,2023-06-14
51,3714,483,3,2565.03,2026-03-03
52,811,218,8,7410.08,2026-05-05
53,2015,266,5,2085.85,2024-11-19
54,519,28,1,247.42,2026-04-21
55,3559,187,2,1905.8,2024-04-09
56,1371,352,8,1577.36,2026-05-14
57,1239,405,4,952.48,2023-06-27
58,2750,11,5,1847.25,2023-11-11
59,2219,451,7,535.99,2026-03-09
60,87,215,7,5111.19,2025-01-05
61,1858,100,1,244.92,2026-02-07
62,1490,155,7,391.72,2023-10-19
63,4358,281,3,3145.8,2026-01-17
64,3478,407,6,769.8,2025-10-31
65,1513,289,6,3092.4,2025-11-06
66,1406,500,4,3867.6,2024-12-07
67,87,235,9,11698.11,2024-06-08
68,1480,74,7,1328.6,2025-10-31
69,337,251,6,5648.22,2024-06-02
70,4399,401,2,469.52,2026-03-21
71,3843,258,1,542.03,2025-03-17
72,33,163,4,5036.4,2025-12-02
73,796,279,7,9099.3,2026-02-20
74,3701,486,3,3863.34,2023-08-28
75,2010,70,3,840.0,2024-06-13
76,71,450,9,6307.47,2023-06-30
77,3547,147,7,8332.87,2026-02-11
78,564,37,3,2952.12,2024-11-06
79,1019,163,7,8813.7,2024-11-28
80,2723,3,5,2561.45,2024-12-19
81,2122,87,3,108.69,2024-02-25
82,3484,358,9,11570.94,2024-12-31
83,2175,180,5,4634.8,2024-02-15
84,159,256,3,1735.62,2026-03-31
85,4551,181,6,5192.76,2023-08-27
86,4218,38,6,2729.4,2024-07-09
87,1257,110,3,1209.66,2026-05-26
88,161,245,9,562.68,2026-05-31
89,4135,398,1,792.33,2025-01-27
90,4799,1,6,5936.4,2024-05-22
91,3995,295,10,5700.7,2024-10-20
92,1318,82,4,2042.56,2025-10-24
93,817,462,2,904.18,2024-10-28
94,1144,83,5,406.6,2025-10-04
95,85,111,3,2520.87,2026-03-22
96,496,211,4,1444.44,2025-06-20
97,4656,236,9,4977.09,2024-01-23
98,2350,80,3,3269.82,2024-01-18
99,411,52,7,149.8,2026-03-13
100,627,6,2,1111.06,2024-01-28
101,1887,429,2,354.5,2026-03-05
102,1071,397,5,4620.85,2024-07-31
103,2859,475,10,165.3,2025-05-19
104,2833,38,10,4549.0,2023-08-03
105,4897,317,4,3758.24,2024-10-25
106,4135,123,4,3376.96,2025-05-16
107,478,242,6,1202.1,2024-09-03
108,132,373,4,3505.68,2024-07-31
109,790,379,7,1826.93,2026-05-12
110,3806,107,4,344.64,2024-12-24
111,2039,100,10,2449.2,2024-12-24
112,4932,332,9,9831.69,2026-02-08
113,1070,35,3,145.89,2025-10-05
114,1652,27,9,2056.32,2025-05-28
115,3438,64,10,12118.6,2025-10-24
116,4906,338,8,336.32,2024-02-09
117,2562,236,10,5530.1,2025-01-02
118,3030,483,1,855.01,2025-06-29
119,2097,345,9,9640.98,2023-12-15
120,912,245,2,125.04,2025-08-31
121,4356,352,9,1774.53,2025-09-29
122,1433,65,9,3042.72,2026-04-03
123,561,96,7,4533.83,2024-07-13
124,3860,78,6,7303.62,2025-01-16
125,1703,483,3,2565.03,2023-07-05
126,3869,474,3,820.41,2024-04-14
127,1672,16,10,1271.8,2024-06-08
128,2401,419,7,1470.35,2025-10-18
129,4906,449,3,2137.26,2025-06-12
130,3323,7,9,8400.33,2025-07-13
131,2428,257,10,11261.9,2025-12-21
132,2197,464,10,210.4,2024-03-03
133,4218,410,1,86.12,2024-10-02
134,1472,30,3,2583.33,2025-07-11
135,4298,185,3,2105.34,2023-10-21
136,1264,370,8,2915.68,2025-03-25
137,4484,101,2,1649.64,2025-11-12
138,4645,33,3,143.52,2025-04-05
139,797,293,8,3938.72,2023-11-03
140,1001,168,6,1601.82,2024-01-16
141,1144,378,7,5600.63,2025-12-13
142,251,447,9,11241.54,2023-10-04
143,4926,100,10,2449.2,2025-07-16
144,2249,124,3,1063.11,2025-07-21
145,3910,115,7,1961.12,2023-11-24
146,4944,287,8,6764.56,2024-03-12
147,1295,30,7,6027.77,2026-02-28
148,4219,288,6,662.04,2023-12-06
149,2126,287,7,5918.99,2025-09-30
150,125,193,10,6297.4,2024-07-22
151,157,473,2,1105.04,2024-03-28
152,4554,304,3,1393.23,2025-11-05
153,1670,284,2,2126.68,2023-08-27
154,780,355,8,4437.36,2024-12-30
155,4221,66,4,3799.36,2025-09-26
156,4664,75,10,2853.6,2023-11-05
157,591,410,9,775.08,2025-03-23
158,2032,439,8,7131.36,2025-04-25
159,3649,487,6,270.9,2024-08-10
160,4375,181,9,7789.14,2023-07-20
161,3143,391,3,1805.46,2025-12-25
162,3761,302,7,7442.47,2023-10-21
163,1815,20,9,5290.29,2024-05-23
164,2906,113,3,170.46,2024-10-05
165,4603,90,4,1923.4,2023-08-15
166,3829,449,10,7124.2,2025-12-28
167,1368,303,3,2214.6,2024-09-06
168,4895,302,6,6379.26,2025-01-22
169,50,178,10,4060.4,2024-02-23
170,770,238,10,9308.5,2023-10-25
171,543,238,7,6515.95,2025-12-10
172,3108,310,2,566.58,2025-12-14
173,1298,398,7,5546.31,2025-01-16
174,236,290,4,3568.04,2024-01-05
175,1624,399,3,730.8,2024-12-01
176,3467,71,1,1139.91,2026-03-25
177,2787,392,6,4024.56,2023-10-09
178,2475,359,8,6450.96,2026-04-09
179,3978,331,10,7280.4,2024-10-29
180,4998,318,1,65.73,2023-09-29
181,1170,233,5,3218.1,2024-02-01
182,2970,335,10,6645.6,2024-01-11
183,1604,127,9,4251.87,2025-07-18
184,4420,225,7,229.88,2023-08-14
185,4614,22,7,8341.48,2026-02-02
186,1344,379,8,2087.92,2025-07-07
187,3378,254,4,3548.2,2026-01-04
188,2514,170,4,1854.4,2026-01-30
189,296,119,4,3063.0,2025-07-19
